AC_No,AC_Name,Male_Electors,Female_Electors,TG_Electors,Total_Electors,Overseas_Electors,Service_Electors,Male_Voted,Female_Voted,TG_Voted,Postal_Voted,Test_Votes,Total_Voted,Overseas_Voted,Poll_Pct,Rejected_Postal,Rejected_EVM,NOTA_Votes,Valid_Votes,Tendered_Votes
142,THIRUVERUMBUR,125997.0,133650.0,54.0,259701.0,0.0,155.0,100900.0,109814.0,29.0,3049.0,0.0,213792.0,0.0,82.32,209.0,0.0,745.0,212838.0,0.0
143,LALGUDI,102852.0,109523.0,28.0,212403.0,0.0,226.0,86434.0,96945.0,21.0,2124.0,0.0,185524.0,0.0,87.35,311.0,0.0,390.0,184823.0,0.0
144,MANACHANALLUR,114439.0,122155.0,38.0,236632.0,0.0,132.0,99055.0,108270.0,26.0,2584.0,0.0,209935.0,0.0,88.72,155.0,0.0,599.0,209181.0,0.0
145,MUSIRI,104395.0,109736.0,15.0,214146.0,5.0,140.0,89841.0,95680.0,11.0,3698.0,0.0,189230.0,0.0,88.36,89.0,0.0,1093.0,188048.0,1.0
146,THURAIYUR (SC),101958.0,108764.0,31.0,210753.0,1.0,68.0,86155.0,96129.0,20.0,2317.0,0.0,184621.0,0.0,87.6,195.0,0.0,697.0,183729.0,0.0
147,PERAMBALUR (SC),141002.0,149700.0,29.0,290731.0,0.0,65.0,115470.0,134134.0,24.0,4232.0,0.0,253860.0,0.0,87.32,206.0,0.0,1160.0,252494.0,7.0
148,KUNNAM,132377.0,135775.0,3.0,268155.0,0.0,60.0,103522.0,123985.0,3.0,3154.0,0.0,230664.0,0.0,86.02,94.0,0.0,484.0,230086.0,6.0
149,ARIYALUR,130401.0,132739.0,16.0,263156.0,1.0,214.0,111656.0,122325.0,12.0,2049.0,0.0,236042.0,0.0,89.7,184.0,0.0,641.0,235217.0,3.0
150,JAYANKONDAM,130779.0,133071.0,12.0,263862.0,0.0,412.0,107758.0,118439.0,7.0,2691.0,0.0,228895.0,0.0,86.75,347.0,0.0,416.0,228132.0,3.0
151,TITTAKUDI (SC),102749.0,106253.0,4.0,209006.0,1.0,22.0,79002.0,94984.0,3.0,1958.0,0.0,175947.0,0.0,84.18,193.0,0.0,584.0,175170.0,0.0
152,VRIDDHACHALAM,119709.0,121113.0,22.0,240844.0,2.0,61.0,98867.0,108198.0,11.0,2372.0,0.0,209448.0,0.0,86.96,262.0,0.0,755.0,208431.0,0.0
153,NEYVELI,95570.0,95751.0,16.0,191337.0,1.0,66.0,82419.0,84119.0,9.0,2502.0,0.0,169049.0,0.0,88.35,269.0,0.0,768.0,168012.0,1.0
154,PANRUTI,117312.0,124455.0,72.0,241839.0,4.0,72.0,100568.0,107513.0,52.0,2882.0,0.0,211015.0,0.0,87.25,248.0,0.0,907.0,209860.0,0.0
155,CUDDALORE,106273.0,116890.0,80.0,223243.0,2.0,94.0,88144.0,98630.0,60.0,3822.0,0.0,190656.0,0.0,85.4,278.0,0.0,894.0,189484.0,2.0
156,KURINJIPADI,116933.0,121308.0,46.0,238287.0,0.0,98.0,102332.0,109390.0,30.0,2574.0,0.0,214326.0,0.0,89.94,361.0,0.0,629.0,213336.0,0.0
157,BHUVANAGIRI,115865.0,117469.0,19.0,233353.0,0.0,94.0,99730.0,104970.0,10.0,2753.0,0.0,207463.0,0.0,88.91,153.0,0.0,681.0,206629.0,0.0
158,CHIDAMBARAM,113648.0,117647.0,30.0,231325.0,0.0,89.0,91541.0,101844.0,16.0,3691.0,0.0,197092.0,0.0,85.2,506.0,0.0,816.0,195770.0,2.0
159,KATTUMANNARKOIL (SC),112652.0,113847.0,10.0,226509.0,0.0,176.0,88678.0,96949.0,4.0,2589.0,0.0,188220.0,0.0,83.1,315.0,0.0,465.0,187440.0,0.0
160,SIRKAZHI (SC),119650.0,121769.0,13.0,241432.0,2.0,113.0,94395.0,104422.0,8.0,1721.0,0.0,200546.0,0.0,83.07,98.0,0.0,555.0,199893.0,1.0
161,MAYILADUTHURAI,115519.0,119077.0,26.0,234622.0,20.0,68.0,89534.0,97124.0,19.0,2014.0,0.0,188691.0,0.0,80.42,230.0,0.0,474.0,187987.0,0.0
162,POOMPUHAR,128012.0,131312.0,8.0,259332.0,22.0,70.0,102364.0,115581.0,6.0,1863.0,0.0,219814.0,0.0,84.76,490.0,0.0,586.0,218738.0,9.0
163,NAGAPATTINAM,85318.0,89396.0,22.0,174736.0,3.0,53.0,69937.0,79983.0,17.0,1575.0,0.0,151512.0,0.0,86.71,186.0,0.0,479.0,150847.0,0.0
164,KILVELUR (SC),84174.0,86452.0,7.0,170633.0,1.0,75.0,71761.0,78177.0,3.0,1809.0,0.0,151750.0,0.0,88.93,113.0,0.0,545.0,151092.0,0.0
165,VEDARANYAM,92434.0,95092.0,1.0,187527.0,0.0,88.0,73881.0,85501.0,1.0,3093.0,0.0,162476.0,0.0,86.64,260.0,0.0,563.0,161653.0,0.0
166,THIRUTHURAIPOONDI (SC),111654.0,115273.0,13.0,226940.0,8.0,95.0,88516.0,100696.0,8.0,1913.0,0.0,191133.0,0.0,84.22,103.0,0.0,797.0,190233.0,0.0
167,MANNARGUDI,113724.0,120826.0,4.0,234554.0,6.0,124.0,87861.0,104495.0,2.0,1811.0,1.0,194170.0,0.0,82.78,69.0,1.0,405.0,193695.0,0.0
168,THIRUVARUR,127141.0,132984.0,20.0,260145.0,2.0,118.0,101446.0,114494.0,7.0,2065.0,0.0,218012.0,0.0,83.8,137.0,0.0,825.0,217050.0,1.0
169,NANNILAM,132488.0,135074.0,14.0,267576.0,8.0,144.0,109330.0,120255.0,3.0,2004.0,0.0,231592.0,0.0,86.55,148.0,0.0,936.0,230508.0,0.0
170,THIRUVIDAIMARUDUR (SC),126301.0,130705.0,8.0,257014.0,0.0,84.0,99126.0,108526.0,3.0,1813.0,0.0,209468.0,0.0,81.5,524.0,0.0,747.0,208197.0,1.0
171,KUMBAKONAM,123565.0,130803.0,15.0,254383.0,14.0,65.0,98465.0,107686.0,6.0,2221.0,0.0,208378.0,0.0,81.92,90.0,0.0,960.0,207328.0,0.0
172,PAPANASAM,124835.0,131759.0,23.0,256617.0,44.0,99.0,96781.0,109352.0,8.0,1726.0,0.0,207867.0,0.0,81.0,144.0,0.0,716.0,207007.0,0.0
173,THIRUVAIYARU,126442.0,132135.0,20.0,258597.0,4.0,223.0,106908.0,113049.0,9.0,2249.0,0.0,222215.0,0.0,85.93,104.0,0.0,948.0,221163.0,0.0
174,THANJAVUR,120469.0,132322.0,50.0,252841.0,34.0,165.0,92142.0,103717.0,33.0,3148.0,0.0,199040.0,0.0,78.72,242.0,0.0,1274.0,197524.0,14.0
175,ORATHANADU,113523.0,120229.0,6.0,233758.0,19.0,216.0,88018.0,105546.0,2.0,1909.0,0.0,195475.0,0.0,83.62,171.0,0.0,631.0,194673.0,1.0
176,PATTUKKOTTAI,116063.0,126368.0,20.0,242451.0,18.0,31.0,80047.0,102391.0,7.0,1707.0,0.0,184152.0,0.0,75.95,407.0,0.0,738.0,183007.0,0.0
177,PERAVURANI,104814.0,109145.0,15.0,213974.0,7.0,28.0,80711.0,94224.0,6.0,1505.0,0.0,176446.0,0.0,82.46,172.0,0.0,695.0,175579.0,1.0
178,GANDHARVAKOTTAI (SC),98651.0,97444.0,9.0,196104.0,13.0,80.0,79954.0,86234.0,4.0,1678.0,0.0,167870.0,0.0,85.6,252.0,0.0,1127.0,166491.0,0.0
179,VIRALIMALAI,110937.0,114188.0,34.0,225159.0,2.0,69.0,96379.0,105740.0,32.0,1848.0,0.0,203999.0,0.0,90.6,78.0,0.0,375.0,203546.0,2.0
180,PUDUKKOTTAI,110873.0,115114.0,22.0,226009.0,25.0,65.0,89038.0,99115.0,16.0,2446.0,0.0,190615.0,0.0,84.34,237.0,0.0,467.0,189911.0,0.0
181,THIRUMAYAM,107642.0,112977.0,3.0,220622.0,2.0,54.0,82050.0,99315.0,3.0,1424.0,0.0,182792.0,0.0,82.85,180.0,0.0,945.0,181667.0,0.0
182,ALANGUDI,104833.0,107306.0,0.0,212139.0,1.0,61.0,82581.0,96333.0,0.0,1684.0,0.0,180598.0,0.0,85.13,115.0,0.0,673.0,179810.0,2.0
183,ARANTHANGI,113235.0,116597.0,2.0,229834.0,0.0,42.0,83069.0,97891.0,1.0,1831.0,0.0,182792.0,0.0,79.53,62.0,0.0,580.0,182150.0,7.0
184,KARAIKUDI,149478.0,156617.0,29.0,306124.0,36.0,199.0,103529.0,123453.0,15.0,2628.0,0.0,229625.0,0.0,75.01,358.0,0.0,519.0,228748.0,4.0
185,TIRUPPATTUR,135526.0,140469.0,4.0,275999.0,25.0,95.0,95904.0,117835.0,2.0,2275.0,0.0,216016.0,0.0,78.27,306.0,0.0,747.0,214963.0,0.0
186,SIVAGANGA,136503.0,142103.0,3.0,278609.0,12.0,485.0,94445.0,116940.0,0.0,3331.0,0.0,214716.0,0.0,77.07,649.0,0.0,1053.0,213014.0,0.0
187,MANAMADURAI (SC),128154.0,132042.0,7.0,260203.0,2.0,821.0,95712.0,109493.0,2.0,3884.0,0.0,209091.0,0.0,80.36,448.0,0.0,846.0,207797.0,0.0
188,MELUR,114265.0,115785.0,11.0,230061.0,0.0,240.0,86585.0,102395.0,3.0,1839.0,0.0,190822.0,0.0,82.94,96.0,0.0,554.0,190172.0,0.0
189,MADURAI EAST,164049.0,172632.0,57.0,336738.0,1.0,211.0,129707.0,138577.0,28.0,3688.0,0.0,272000.0,0.0,80.77,434.0,0.0,1177.0,270389.0,0.0
190,SHOLAVANDAN (SC),105847.0,109489.0,12.0,215348.0,1.0,563.0,91217.0,95865.0,6.0,2136.0,0.0,189224.0,0.0,87.87,144.0,0.0,571.0,188509.0,0.0
191,MADURAI NORTH,107562.0,113714.0,50.0,221326.0,4.0,152.0,77515.0,82207.0,28.0,2141.0,0.0,161891.0,0.0,73.15,90.0,0.0,753.0,161048.0,0.0
192,MADURAI SOUTH,88345.0,91609.0,49.0,180003.0,2.0,84.0,69089.0,71609.0,3.0,897.0,0.0,141598.0,0.0,78.66,95.0,0.0,612.0,140891.0,3.0
193,MADURAI CENTRAL,97051.0,102648.0,26.0,199725.0,1.0,107.0,71990.0,75495.0,15.0,1209.0,0.0,148709.0,0.0,74.46,123.0,0.0,656.0,147930.0,0.0
194,MADURAI WEST,135219.0,140458.0,12.0,275689.0,6.0,173.0,104392.0,109850.0,6.0,2618.0,0.0,216866.0,0.0,78.66,463.0,0.0,893.0,215510.0,3.0
195,THIRUPARANKUNDRAM,152686.0,158988.0,31.0,311705.0,6.0,305.0,123550.0,129783.0,14.0,2599.0,0.0,255946.0,0.0,82.11,480.0,0.0,1148.0,254318.0,3.0
196,THIRUMANGALAM,128372.0,134567.0,9.0,262948.0,0.0,1710.0,108399.0,118821.0,5.0,4319.0,0.0,231544.0,0.0,88.06,564.0,0.0,933.0,230047.0,1.0
197,USILAMPATTI,134096.0,133865.0,8.0,267969.0,0.0,1777.0,107313.0,113527.0,4.0,3835.0,0.0,224679.0,0.0,83.85,631.0,0.0,692.0,223356.0,0.0
198,ANDIPATTI,126975.0,130992.0,30.0,257997.0,2.0,1468.0,103106.0,111509.0,12.0,3072.0,0.0,217699.0,0.0,84.38,370.0,0.0,1028.0,216301.0,0.0
199,PERIYAKULAM (SC),130120.0,136340.0,110.0,266570.0,2.0,740.0,101761.0,106962.0,61.0,2730.0,0.0,211514.0,0.0,79.35,305.0,0.0,1506.0,209703.0,12.0
200,BODINAYAKANUR,128663.0,135707.0,16.0,264386.0,23.0,1094.0,103602.0,114344.0,6.0,3164.0,0.0,221116.0,0.0,83.63,488.0,0.0,931.0,219697.0,2.0
201,CUMBUM,124942.0,132359.0,22.0,257323.0,11.0,1435.0,98781.0,108943.0,7.0,3346.0,0.0,211077.0,0.0,82.03,503.0,0.0,667.0,209907.0,3.0
202,RAJAPALAYAM,104592.0,110021.0,33.0,214646.0,6.0,454.0,86150.0,94608.0,22.0,2432.0,0.0,183212.0,2.0,85.36,192.0,0.0,753.0,182267.0,2.0
203,SRIVILLIPUTHUR (SC),109704.0,115160.0,39.0,224903.0,0.0,781.0,90792.0,99596.0,27.0,3212.0,0.0,193627.0,0.0,86.09,156.0,0.0,873.0,192598.0,0.0
204,SATTUR,112159.0,117928.0,62.0,230149.0,6.0,819.0,93451.0,102942.0,47.0,2598.0,1.0,199039.0,0.0,86.48,304.0,1.0,476.0,198258.0,0.0
205,SIVAKASI,110989.0,117448.0,28.0,228465.0,0.0,260.0,92408.0,99545.0,12.0,1629.0,0.0,193594.0,0.0,84.74,77.0,0.0,948.0,192569.0,9.0
206,VIRUDHUNAGAR,97702.0,103195.0,41.0,200938.0,2.0,320.0,79370.0,86662.0,24.0,2461.0,0.0,168517.0,0.0,83.87,685.0,0.0,954.0,166878.0,1.0
207,ARUPPUKKOTTAI,101021.0,107118.0,29.0,208168.0,2.0,418.0,83014.0,93101.0,14.0,2569.0,0.0,178698.0,0.0,85.84,285.0,0.0,692.0,177721.0,0.0
208,TIRUCHULI,101535.0,104131.0,15.0,205681.0,1.0,380.0,86223.0,92852.0,10.0,2553.0,0.0,181638.0,0.0,88.31,388.0,0.0,425.0,180825.0,0.0
209,PARAMAKUDI (SC),116769.0,118322.0,18.0,235109.0,0.0,501.0,85972.0,100767.0,12.0,3263.0,0.0,190014.0,0.0,80.82,261.0,0.0,710.0,189043.0,2.0
210,TIRUVADANAI,141198.0,142909.0,23.0,284130.0,0.0,266.0,98602.0,119551.0,10.0,2285.0,0.0,220448.0,0.0,77.59,170.0,0.0,354.0,219924.0,0.0
211,RAMANATHAPURAM,153584.0,158866.0,13.0,312463.0,0.0,160.0,106892.0,128695.0,5.0,2104.0,0.0,237696.0,0.0,76.07,120.0,0.0,953.0,236623.0,0.0
212,MUDHUKULATHUR,149600.0,150100.0,2.0,299702.0,3.0,744.0,106926.0,121388.0,1.0,3058.0,0.0,231373.0,0.0,77.2,0.0,0.0,429.0,230944.0,0.0
213,VILATHIKULAM,100955.0,104494.0,16.0,205465.0,5.0,483.0,82816.0,89728.0,12.0,2474.0,0.0,175030.0,0.0,85.19,216.0,0.0,642.0,174172.0,1.0
214,THOOTHUKKUDI,121897.0,128841.0,65.0,250803.0,5.0,216.0,97716.0,105009.0,40.0,2227.0,0.0,204992.0,0.0,81.73,280.0,0.0,853.0,203859.0,17.0
215,TIRUCHENDUR,113532.0,119499.0,30.0,233061.0,11.0,128.0,87381.0,96353.0,20.0,2568.0,0.0,186322.0,0.0,79.95,272.0,0.0,722.0,185328.0,3.0
216,SRIVAIKUNTAM,106078.0,108547.0,5.0,214630.0,5.0,362.0,84320.0,89176.0,4.0,3094.0,0.0,176594.0,0.0,82.28,173.0,0.0,579.0,175842.0,0.0
217,OTTAPIDARAM (SC),119629.0,125001.0,56.0,244686.0,0.0,930.0,93245.0,100012.0,23.0,3274.0,0.0,196554.0,0.0,80.33,437.0,0.0,879.0,195238.0,1.0
218,KOVILPATTI,117661.0,124669.0,29.0,242359.0,3.0,699.0,90011.0,101751.0,12.0,2723.0,0.0,194497.0,0.0,80.25,265.0,0.0,593.0,193639.0,6.0
219,SANKARANKOVIL (SC),116467.0,122551.0,17.0,239035.0,0.0,953.0,91021.0,101919.0,12.0,4718.0,0.0,197670.0,0.0,82.7,1190.0,0.0,560.0,195920.0,1.0
220,VASUDEVANALLUR (SC),112113.0,117053.0,13.0,229179.0,0.0,622.0,86845.0,99459.0,9.0,3943.0,0.0,190256.0,0.0,83.02,461.0,0.0,637.0,189158.0,0.0
221,KADAYANALLUR,133499.0,136207.0,17.0,269723.0,0.0,503.0,100529.0,118655.0,8.0,3168.0,0.0,222360.0,0.0,82.44,409.0,0.0,527.0,221424.0,1.0
222,TENKASI,137606.0,144294.0,102.0,282002.0,9.0,378.0,110970.0,120953.0,45.0,3245.0,0.0,235213.0,0.0,83.41,226.0,0.0,673.0,234314.0,2.0
223,ALANGULAM,124973.0,130736.0,21.0,255730.0,3.0,273.0,105179.0,112534.0,14.0,3376.0,0.0,221103.0,0.0,86.46,246.0,0.0,982.0,219875.0,0.0
224,TIRUNELVELI,133987.0,142229.0,80.0,276296.0,8.0,439.0,103881.0,111823.0,63.0,3293.0,0.0,219060.0,0.0,79.28,635.0,0.0,717.0,217708.0,0.0
225,AMBASAMUDRAM,110714.0,117520.0,12.0,228246.0,4.0,368.0,89271.0,99450.0,10.0,2882.0,0.0,191613.0,0.0,83.95,418.0,0.0,1060.0,190135.0,2.0
226,PALAYAMKOTTAI,125093.0,132387.0,18.0,257498.0,21.0,169.0,84519.0,92797.0,5.0,3740.0,0.0,181061.0,0.0,70.32,441.0,0.0,851.0,179769.0,8.0
227,NANGUNERI,126747.0,130720.0,13.0,257480.0,3.0,303.0,98912.0,107442.0,8.0,3186.0,0.0,209548.0,0.0,81.38,129.0,0.0,721.0,208698.0,0.0
228,RADHAPURAM,121832.0,125455.0,23.0,247310.0,7.0,249.0,92325.0,105228.0,14.0,2879.0,0.0,200446.0,0.0,81.05,515.0,0.0,469.0,199462.0,0.0
229,KANNIYAKUMARI,142753.0,146714.0,94.0,289561.0,57.0,694.0,110849.0,124085.0,58.0,4986.0,0.0,239978.0,0.0,82.88,828.0,0.0,825.0,238325.0,0.0
230,NAGERCOIL,127154.0,132197.0,10.0,259361.0,125.0,433.0,91964.0,101342.0,3.0,3236.0,0.0,196545.0,0.0,75.78,265.0,0.0,447.0,195833.0,1.0
231,COLACHAL,133550.0,132504.0,1.0,266055.0,66.0,1040.0,91595.0,104579.0,1.0,3536.0,0.0,199711.0,0.0,75.06,698.0,0.0,581.0,198432.0,0.0
232,PADMANABHAPURAM,119087.0,118070.0,3.0,237160.0,38.0,1649.0,83637.0,94077.0,3.0,3930.0,1.0,181648.0,0.0,76.59,1092.0,1.0,615.0,179940.0,0.0
233,VILAVANCODE,114567.0,114127.0,3.0,228697.0,19.0,2039.0,80934.0,90663.0,2.0,3854.0,0.0,175453.0,0.0,76.72,526.0,0.0,828.0,174099.0,3.0
234,KILLIYOOR,125668.0,121606.0,15.0,247289.0,40.0,1930.0,80449.0,94382.0,1.0,3796.0,0.0,178628.0,0.0,72.23,1094.0,0.0,502.0,177032.0,0.0
